データ日付,終値
2017/2/3,18918.2
2017/2/6,18976.71
2017/2/7,18910.78
2017/2/8,19007.6
2017/2/9,18907.67
2017/2/10,19378.93
2017/2/13,19459.15
2017/2/14,19238.98
2017/2/15,19437.98
2017/2/16,19347.53
2017/2/17,19234.62
2017/2/20,19251.08
2017/2/21,19381.44
2017/2/22,19379.87
2017/2/23,19371.46
2017/2/24,19283.54
2017/2/27,19107.47
2017/2/28,19118.99
2017/3/1,19393.54
2017/3/2,19564.8
2017/3/3,19469.17
2017/3/6,19379.14
2017/3/7,19344.15
2017/3/8,19254.03
2017/3/9,19318.58
2017/3/10,19604.61
2017/3/13,19633.75
2017/3/14,19609.5
2017/3/15,19577.38
2017/3/16,19590.14
2017/3/17,19521.59
2017/3/21,19455.88
2017/3/22,19041.38
2017/3/23,19085.31
2017/3/24,19262.53
2017/3/27,18985.59
2017/3/28,19202.87
2017/3/29,19217.48
2017/3/30,19063.22
2017/3/31,18909.26
2017/4/3,18983.23
2017/4/4,18810.25
2017/4/5,18861.27
2017/4/6,18597.06
2017/4/7,18664.63
2017/4/10,18797.88
2017/4/11,18747.87
2017/4/12,18552.61
2017/4/13,18426.84
2017/4/14,18335.63
2017/4/17,18355.26
2017/4/18,18418.59
2017/4/19,18432.2
2017/4/20,18430.49
2017/4/21,18620.75
2017/4/24,18875.88
2017/4/25,19079.33
2017/4/26,19289.43
2017/4/27,19251.87
2017/4/28,19196.74
2017/5/1,19310.52
2017/5/2,19445.7
2017/5/8,19895.7
2017/5/9,19843
2017/5/10,19900.09
2017/5/11,19961.55
2017/5/12,19883.9
2017/5/15,19869.85
2017/5/16,19919.82
2017/5/17,19814.88
2017/5/18,19553.86
2017/5/19,19590.76
2017/5/22,19678.28
2017/5/23,19613.28
2017/5/24,19742.98
2017/5/25,19813.13
2017/5/26,19686.84
2017/5/29,19682.57
2017/5/30,19677.85
2017/5/31,19650.57
2017/6/1,19860.03
2017/6/2,20177.28
2017/6/5,20170.82
2017/6/6,19979.9
2017/6/7,19984.62
2017/6/8,19909.26
2017/6/9,20013.26
2017/6/12,19908.58
2017/6/13,19898.75
2017/6/14,19883.52
2017/6/15,19831.82
2017/6/16,19943.26
2017/6/19,20067.75
2017/6/20,20230.41
2017/6/21,20138.79
2017/6/22,20110.51
2017/6/23,20132.67
2017/6/26,20153.35
2017/6/27,20225.09
2017/6/28,20130.41
2017/6/29,20220.3
2017/6/30,20033.43
2017/7/3,20055.8
2017/7/4,20032.35
2017/7/5,20081.63
2017/7/6,19994.06
2017/7/7,19929.09
2017/7/10,20080.98
2017/7/11,20195.48
2017/7/12,20098.38
2017/7/13,20099.81
2017/7/14,20118.86
2017/7/18,19999.91
2017/7/19,20020.86
2017/7/20,20144.59
2017/7/21,20099.75
2017/7/24,19975.67
2017/7/25,19955.2
2017/7/26,20050.16
